
m:\bw1bect0_OBCU_ATP_CONSTRUCTION_int\TGMT_OBCU_ATP\ATP_BUILD\GEN\Appl>java -jar c:\bin\OmfAnalysis.jar Appl.omf 1024 ..\..\..\ANI\src ..\..\..\ATP_root\src ..\..\..\braking_curves\src ..\..\..\configuration\src ..\..\..\diagnosis\src ..\..\..\DOOR\src ..\..\..\locating\src ..\..\..\modes_level\src ..\..\..\movement_authority\src ..\..\..\supervisions\src ..\..\..\tdb_management\src ..\..\..\TIU\src ..\..\..\train_consist_manager\src 
OmfAnalysis v1.03, 24.07.2018
OMF-File: Appl.omf ok.
Size=9840732 Bytes, CPU-time 2,22500 ms
CPP-file=TCM_TCMTCDSLAVE_I.CPP, CPU-time 15,6850 ms
CPP-file=TCM_TCMTCHANDLER_I.CPP, CPU-time 15,7030 ms
CPP-file=TCM_TCMTRAININTEGRITY_I.CPP, CPU-time 15,7200 ms
CPP-file=TCM_TELEGRAMHANDLER_I.CPP, CPU-time 15,7370 ms
CPP-file=TCM_TIMGRCABCHANGE_I.CPP, CPU-time 15,7540 ms
CPP-file=TCM_TRAINCONSIST_C.CPP, CPU-time 15,7890 ms
CPP-file=TCM_TRAINCONSISTMANAGER_C.CPP, CPU-time 15,8610 ms
CPP-file=TCM_TRAININTEGRITYMANAGER_C.CPP, CPU-time 15,9460 ms
CPP-file=TCM_TRAININTERFACEUNIT_I.CPP, CPU-time 15,9640 ms
CPP-file=TCM_VEHICLE_C.CPP, CPU-time 15,9860 ms
CPP-file=BC_BRAKINGCURVES_C.CPP, CPU-time 16,0140 ms
CPP-file=BC_CONFIGURATION_C.CPP, CPU-time 16,0500 ms
CPP-file=BC_CONFIGURATION_I.CPP, CPU-time 16,0760 ms
CPP-file=BC_CONSTRAINTPOINT_C.CPP, CPU-time 16,1190 ms
CPP-file=BC_CONSTRAINTPOINTSV_C.CPP, CPU-time 16,1560 ms
CPP-file=BC_LOCATING_I.CPP, CPU-time 16,1740 ms
CPP-file=BC_MRGP_C.CPP, CPU-time 16,2190 ms
CPP-file=BC_MRSP_C.CPP, CPU-time 16,2770 ms
CPP-file=BC_PROFILEHANDLER_C.CPP, CPU-time 16,3350 ms
CPP-file=BC_MASPEEDPROFILE_C.CPP, CPU-time 16,3790 ms
CPP-file=BC_SPEEDPLATEAUSV_C.CPP, CPU-time 16,4100 ms
CPP-file=BC_SUPERVISION_C.CPP, CPU-time 16,4540 ms
CPP-file=BC_SUPERVISION_I.CPP, CPU-time 16,4710 ms
CPP-file=BC_TELEGRAMHANDLER_I.CPP, CPU-time 16,4890 ms
CPP-file=BC_EBOUTPUTHANDLER_C.CPP, CPU-time 16,5210 ms
